name,cost,efficacy
s1,0.15,6.78
s2,0.21,8.58
s3,0.88,7.45
s4,0.32,6.36
s5,0.6,1.74
s6,0.19,9.97
s7,0.23,9.86
s8,0.41,4.44
s9,0.26,7.71
s10,0.25,3.23

name,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
s1,0,0.11,0.49,-0.07,-2.27,0.13,0.25,-0.61,0.1,-0.36
s2,0.11,0,-0.76,-0.24,-2.67,-0.03,0.03,-0.83,-0.04,-0.21
s3,0.49,-0.76,0,0.61,1.6,-1.74,-1.57,1.41,-0.16,2.66
s4,-0.07,-0.24,0.61,0,-1.29,-0.47,-0.31,-0.17,-0.08,0.22
s5,-2.27,-2.67,1.6,-1.29,0,-3.37,-3.0,-0.51,-2.03,-0.52
s6,0.13,-0.03,-1.74,-0.47,-3.37,0,-0.0,-1.22,-0.16,-0.4
s7,0.25,0.03,-1.57,-0.31,-3.0,-0.0,0,-0.98,-0.06,-0.13
s8,-0.61,-0.83,1.41,-0.17,-0.51,-1.22,-0.98,0,-0.49,0.19
s9,0.1,-0.04,-0.16,-0.08,-2.03,-0.16,-0.06,-0.49,0,0.04
s10,-0.36,-0.21,2.66,0.22,-0.52,-0.4,-0.13,0.19,0.04,0
