name,cost,efficacy
s1,0.51,5.72
s2,0.75,4.42
s3,0.87,2.09
s4,0.79,7.94
s5,0.46,5.34
s6,0.67,7.79
s7,0.92,2.6
s8,0.86,5.14
s9,0.35,2.42
s10,0.45,7.01
s11,0.83,9.72
s12,0.65,3.72
s13,0.82,2.67
s14,0.59,1.27
s15,0.51,2.77
s16,0.72,4.64
s17,0.96,9.88
s18,0.2,8.86
s19,0.32,6.24
s20,0.79,7.48

name,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
s1,0,-0.31,-1.31,0.62,0.02,0.33,-1.28,-0.2,0.53,-0.08,1.28,-0.28,-0.95,-0.36,-0.0,-0.23,1.87,-0.97,-0.1,0.49
s2,-0.31,0,-0.28,0.14,-0.27,-0.27,-0.31,0.08,0.8,-0.78,0.42,0.07,-0.12,0.5,0.4,-0.01,1.15,-2.44,-0.78,0.12
s3,-1.31,-0.28,0,-0.47,-1.33,-1.14,0.03,-0.03,-0.17,-2.07,-0.31,-0.36,-0.03,0.23,-0.24,-0.38,0.7,-4.54,-2.28,-0.43
s4,0.62,0.14,-0.47,0,0.86,0.02,-0.69,-0.2,2.43,0.32,0.07,0.59,-0.16,1.33,1.45,0.23,0.33,-0.54,0.8,-0.0
s5,0.02,-0.27,-1.33,0.86,0,0.51,-1.26,-0.08,0.32,-0.02,1.62,-0.31,-0.96,-0.53,-0.13,-0.18,2.27,-0.92,-0.13,0.71
s6,0.33,-0.27,-1.14,0.02,0.51,0,-1.3,-0.5,1.72,0.17,0.31,0.08,-0.77,0.52,0.8,-0.16,0.61,-0.5,0.54,-0.04
s7,-1.28,-0.31,0.03,-0.69,-1.26,-1.3,0,-0.15,0.1,-2.07,-0.64,-0.3,-0.01,0.44,-0.07,-0.41,0.29,-4.51,-2.18,-0.63
s8,-0.2,0.08,-0.03,-0.2,-0.08,-0.5,-0.15,0,1.39,-0.77,-0.14,0.3,0.1,1.04,0.83,0.07,0.47,-2.46,-0.59,-0.16
s9,0.53,0.8,-0.17,2.43,0.32,1.72,0.1,1.39,0,0.46,3.5,0.39,0.12,-0.28,0.06,0.82,4.55,-0.97,-0.11,2.23
s10,-0.08,-0.78,-2.07,0.32,-0.02,0.17,-2.07,-0.77,0.46,0,1.03,-0.66,-1.61,-0.8,-0.25,-0.64,1.46,-0.46,0.1,0.16
s11,1.28,0.42,-0.31,0.07,1.62,0.31,-0.64,-0.14,3.5,1.03,0,1.08,0.07,2.03,2.22,0.56,0.02,0.54,1.77,0.09
s12,-0.28,0.07,-0.36,0.59,-0.31,0.08,-0.3,0.3,0.39,-0.66,1.08,0,-0.18,0.15,0.13,0.06,1.91,-2.31,-0.83,0.53
s13,-0.95,-0.12,-0.03,-0.16,-0.96,-0.77,-0.01,0.1,0.12,-1.61,0.07,-0.18,0,0.32,-0.03,-0.2,1.01,-3.84,-1.78,-0.14
s14,-0.36,0.5,0.23,1.33,-0.53,0.52,0.44,1.04,-0.28,-0.8,2.03,0.15,0.32,0,-0.12,0.44,3.19,-2.96,-1.34,1.24
s15,0.0,0.4,-0.24,1.45,-0.13,0.8,-0.07,0.83,0.06,-0.25,2.22,0.13,-0.03,-0.12,0,0.39,3.2,-1.89,-0.66,1.32
s16,-0.23,-0.01,-0.38,0.23,-0.18,-0.16,-0.41,0.07,0.82,-0.64,0.56,0.06,-0.2,0.44,0.39,0,1.26,-2.19,-0.64,0.2
s17,1.87,1.15,0.7,0.33,2.27,0.61,0.29,0.47,4.55,1.46,0.02,1.91,1.01,3.19,3.2,1.26,0,0.78,2.33,0.41
s18,-0.97,-2.44,-4.54,-0.54,-0.92,-0.5,-4.51,-2.46,-0.97,-0.46,0.54,-2.31,-3.84,-2.96,-1.89,-2.19,0.78,0,-0.31,-0.81
s19,-0.1,-0.78,-2.28,0.8,-0.13,0.54,-2.18,-0.59,-0.11,0.1,1.77,-0.83,-1.78,-1.34,-0.66,-0.64,2.33,-0.31,0,0.58
s20,0.49,0.12,-0.43,0.0,0.71,-0.04,-0.63,-0.16,2.23,0.16,0.09,0.53,-0.14,1.24,1.32,0.2,0.41,-0.81,0.58,0
