name,cost,efficacy
s1,0.83,4.7
s2,0.73,6.8
s3,0.65,6.27
s4,0.81,5.04
s5,0.81,6.53
s6,0.69,9.52
s7,0.66,3.14
s8,0.79,5.97
s9,0.76,6.09
s10,0.15,5.1
s11,0.91,3.31
s12,0.78,3.76
s13,0.26,7.69
s14,0.95,7.82
s15,0.95,3.29
s16,0.24,2.45
s17,0.83,1.2
s18,0.53,8.89
s19,0.19,1.66
s20,0.66,4.52
s21,0.97,5.64
s22,0.36,2.47
s23,0.96,2.62
s24,0.9,6.13
s25,0.61,6.71
s26,0.23,2.0
s27,0.32,4.33
s28,0.95,7.71
s29,0.36,6.9
s30,0.45,8.0

name,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30
s1,0,-0.21,-0.28,-0.01,-0.04,-0.67,0.27,-0.05,-0.1,-0.27,-0.11,0.05,-1.7,0.37,-0.17,1.33,-0.0,-1.26,1.95,0.03,0.13,1.05,-0.27,0.1,-0.44,1.62,0.19,0.36,-1.03,-1.25
s2,-0.21,0,0.04,-0.14,-0.02,-0.11,0.26,-0.05,-0.02,0.99,-0.63,-0.15,-0.42,0.22,-0.77,2.13,-0.56,-0.42,2.78,0.16,-0.28,1.6,-0.96,-0.11,0.01,2.4,1.01,0.2,-0.04,-0.34
s3,-0.28,0.04,0,-0.2,0.04,0.13,-0.03,-0.04,-0.02,0.58,-0.77,-0.33,-0.55,0.47,-0.89,1.57,-0.91,-0.31,2.12,-0.02,-0.2,1.1,-1.13,-0.03,-0.02,1.79,0.64,0.43,-0.18,-0.35
s4,-0.01,-0.14,-0.2,0,0.0,-0.54,0.29,-0.02,-0.05,-0.04,-0.17,0.04,-1.46,0.39,-0.24,1.48,-0.08,-1.08,2.1,0.08,0.1,1.16,-0.36,0.1,-0.33,1.76,0.35,0.37,-0.84,-1.07
s5,-0.04,-0.02,0.04,-0.0,0,-0.36,0.51,0.01,0.02,0.94,-0.32,0.08,-0.64,0.18,-0.45,2.33,-0.11,-0.66,3.02,0.3,-0.14,1.83,-0.59,-0.04,-0.04,2.63,1.08,0.17,-0.17,-0.53
s6,-0.67,-0.11,0.13,-0.54,-0.36,0,0.19,-0.36,-0.24,2.39,-1.37,-0.52,0.79,-0.44,-1.62,3.18,-1.16,0.1,3.93,0.15,-1.09,2.33,-1.86,-0.71,0.22,3.46,1.92,-0.47,0.86,0.36
s7,0.27,0.26,-0.03,0.29,0.51,0.19,0,0.37,0.29,-1.0,0.04,0.07,-1.82,1.36,0.04,0.29,-0.33,-0.75,0.7,0.0,0.77,0.2,-0.16,0.72,-0.18,0.49,-0.4,1.33,-1.13,-1.02
s8,-0.05,-0.05,-0.04,-0.02,0.01,-0.36,0.37,0,-0.0,0.56,-0.32,0.02,-0.91,0.3,-0.43,1.94,-0.19,-0.76,2.59,0.19,-0.06,1.5,-0.57,0.02,-0.13,2.22,0.77,0.28,-0.4,-0.69
s9,-0.1,-0.02,-0.02,-0.05,0.02,-0.24,0.29,-0.0,0,0.6,-0.42,-0.05,-0.8,0.33,-0.53,1.89,-0.34,-0.64,2.53,0.16,-0.09,1.45,-0.69,0.01,-0.09,2.17,0.77,0.31,-0.32,-0.59
s10,-0.27,0.99,0.58,-0.04,0.94,2.39,-1.0,0.56,0.6,0,-1.36,-0.84,0.28,2.18,-1.45,-0.24,-2.65,1.44,-0.14,-0.3,0.44,-0.55,-2.01,0.77,0.74,-0.25,-0.13,2.09,0.38,0.87
s11,-0.11,-0.63,-0.77,-0.17,-0.32,-1.37,0.04,-0.32,-0.42,-1.36,0,-0.06,-2.85,0.18,-0.0,0.58,0.17,-2.12,1.19,-0.3,0.14,0.46,-0.03,-0.03,-1.02,0.89,-0.6,0.18,-1.97,-2.16
s12,0.05,-0.15,-0.33,0.04,0.08,-0.52,0.07,0.02,-0.05,-0.84,-0.06,0,-2.04,0.69,-0.08,0.71,-0.13,-1.28,1.24,-0.09,0.36,0.54,-0.21,0.28,-0.5,0.97,-0.26,0.67,-1.32,-1.4
s13,-1.7,-0.42,-0.55,-1.46,-0.64,0.79,-1.82,-0.91,-0.8,0.28,-2.85,-2.04,0,0.09,-3.04,0.1,-3.7,0.32,0.42,-1.27,-1.46,-0.52,-3.55,-1.0,-0.34,0.17,-0.2,0.01,-0.08,0.06
s14,0.37,0.22,0.47,0.39,0.18,-0.44,1.36,0.3,0.33,2.18,0.18,0.69,0.09,0,-0.0,3.81,0.79,-0.45,4.68,0.96,-0.04,3.16,-0.05,0.08,0.38,4.19,2.2,-0.0,0.54,-0.09
s15,-0.17,-0.77,-0.89,-0.24,-0.45,-1.62,0.04,-0.43,-0.53,-1.45,-0.0,-0.08,-3.04,0.0,0,0.6,0.25,-2.35,1.24,-0.36,0.05,0.48,-0.01,-0.14,-1.16,0.93,-0.66,0.0,-2.13,-2.35
s16,1.33,2.13,1.57,1.48,2.33,3.18,0.29,1.94,1.89,-0.24,0.58,0.71,0.1,3.81,0.6,0,-0.74,1.87,0.04,0.87,2.33,0.0,0.12,2.43,1.58,0.0,0.15,3.73,0.53,1.17
s17,0.0,-0.56,-0.91,-0.08,-0.11,-1.16,-0.33,-0.19,-0.34,-2.65,0.17,-0.13,-3.7,0.79,0.25,-0.74,0,-2.31,-0.29,-0.56,0.62,-0.6,0.18,0.35,-1.21,-0.48,-1.6,0.78,-2.68,-2.58
s18,-1.26,-0.42,-0.31,-1.08,-0.66,0.1,-0.75,-0.76,-0.64,1.44,-2.12,-1.28,0.32,-0.45,-2.35,1.87,-2.31,0,2.46,-0.57,-1.43,1.09,-2.7,-1.02,-0.17,2.07,0.96,-0.5,0.34,0.07
s19,1.95,2.78,2.12,2.1,3.02,3.93,0.7,2.59,2.53,-0.14,1.19,1.24,0.42,4.68,1.24,0.04,-0.29,2.46,0,1.34,3.1,0.14,0.74,3.17,2.12,0.01,0.35,4.6,0.89,1.65
s20,0.03,0.16,-0.02,0.08,0.3,0.15,-0.0,0.19,0.16,-0.3,-0.3,-0.09,-1.27,0.96,-0.36,0.87,-0.56,-0.57,1.34,0,0.35,0.61,-0.57,0.39,-0.11,1.08,0.06,0.93,-0.71,-0.73
s21,0.13,-0.28,-0.2,0.1,-0.14,-1.09,0.77,-0.06,-0.09,0.44,0.14,0.36,-1.46,-0.04,0.05,2.33,0.62,-1.43,3.1,0.35,0,1.93,0.03,-0.03,-0.39,2.69,0.85,-0.04,-0.77,-1.23
s22,1.05,1.6,1.1,1.16,1.83,2.33,0.2,1.5,1.45,-0.55,0.46,0.54,-0.52,3.16,0.48,0.0,-0.6,1.09,0.14,0.61,1.93,0,0.09,1.98,1.06,0.06,-0.07,3.09,0.0,0.5
s23,-0.27,-0.96,-1.13,-0.36,-0.59,-1.86,-0.16,-0.57,-0.69,-2.01,-0.03,-0.21,-3.55,-0.05,-0.01,0.12,0.18,-2.7,0.74,-0.57,0.03,0.09,0,-0.21,-1.43,0.45,-1.09,-0.05,-2.57,-2.74
s24,0.1,-0.11,-0.03,0.1,-0.04,-0.71,0.72,0.02,0.01,0.77,-0.03,0.28,-1.0,0.08,-0.14,2.43,0.35,-1.02,3.17,0.39,-0.03,1.98,-0.21,0,-0.17,2.77,1.04,0.08,-0.42,-0.84
s25,-0.44,0.01,-0.02,-0.33,-0.04,0.22,-0.18,-0.13,-0.09,0.74,-1.02,-0.5,-0.34,0.38,-1.16,1.58,-1.21,-0.17,2.12,-0.11,-0.39,1.06,-1.43,-0.17,0,1.79,0.69,0.34,-0.05,-0.21
