name,cost,efficacy
s1,0.16,4.05
s2,0.37,3.3
s3,0.82,7.01
s4,0.46,9.02
s5,0.58,9.51
s6,0.93,5.58
s7,0.12,6.38
s8,0.73,8.39
s9,0.46,8.78
s10,0.58,5.92
s11,0.1,4.16
s12,0.66,2.43
s13,0.37,8.27
s14,0.52,3.4
s15,0.45,5.91
s16,0.56,4.95
s17,0.86,6.99
s18,0.85,2.54
s19,0.2,5.62
s20,0.64,8.54
s21,0.67,1.88
s22,0.79,9.23
s23,0.64,1.5
s24,0.77,6.77
s25,0.88,8.22
s26,0.94,5.33
s27,0.92,5.89
s28,0.37,3.93
s29,0.2,8.24
s30,0.99,3.91
s31,0.5,3.71
s32,0.39,4.46
s33,0.64,3.7
s34,0.73,9.09
s35,0.56,1.12
s36,0.15,1.42
s37,0.56,6.84
s38,0.29,9.28
s39,0.12,5.58
s40,0.4,4.15

name,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40
s1,0,-0.16,1.95,1.49,2.29,1.18,-0.09,2.47,1.42,0.79,-0.01,-0.81,0.89,-0.23,0.54,0.36,2.06,-1.04,0.06,2.16,-1.11,3.26,-1.22,1.66,3.0,1.0,1.4,-0.03,0.17,-0.12,-0.12,0.09,-0.17,2.87,-1.17,0.03,1.12,0.68,-0.06,0.02
s2,-0.16,0,1.67,0.51,1.3,1.28,-0.77,1.83,0.49,0.55,-0.23,-0.25,0.0,0.02,0.21,0.31,1.81,-0.36,-0.39,1.41,-0.43,2.49,-0.49,1.39,2.51,1.16,1.42,0.0,-0.84,0.38,0.05,0.02,0.11,2.08,-0.41,0.41,0.67,-0.48,-0.57,0.03
s3,1.95,1.67,0,-0.72,-0.6,-0.16,0.44,-0.12,-0.64,0.26,2.05,0.73,-0.57,1.08,0.41,0.54,-0.0,-0.13,0.86,-0.28,0.77,-0.07,0.99,0.01,0.07,-0.2,-0.11,1.39,-0.76,-0.53,1.06,1.1,0.6,-0.19,1.53,3.75,0.04,-1.2,1.0,1.2
s4,1.49,0.51,-0.72,0,0.06,-1.62,0.9,-0.17,-0.0,-0.37,1.75,-1.32,0.07,-0.34,0.03,-0.41,-0.81,-2.53,0.88,-0.09,-1.5,0.07,-1.35,-0.7,-0.34,-1.77,-1.44,0.46,0.2,-2.71,-0.21,0.32,-0.96,0.02,-0.79,2.36,-0.22,-0.04,1.17,0.29
s5,2.29,1.3,-0.6,0.06,0,-1.38,1.44,-0.17,0.09,-0.0,2.57,-0.57,0.26,0.37,0.47,0.09,-0.71,-1.88,1.48,-0.06,-0.69,-0.06,-0.48,-0.52,-0.39,-1.5,-1.23,1.17,0.48,-2.3,0.46,0.96,-0.35,-0.06,0.17,3.48,0.05,0.07,1.81,0.96
s6,1.18,1.28,-0.16,-1.62,-1.38,0,-0.65,-0.56,-1.5,-0.12,1.18,0.85,-1.51,0.89,-0.16,0.23,-0.1,0.24,-0.03,-0.86,0.96,-0.51,1.18,-0.19,-0.13,-0.0,-0.0,0.92,-1.94,-0.1,0.8,0.6,0.55,-0.7,1.65,3.24,-0.47,-2.37,-0.0,0.76
s7,-0.09,-0.77,0.44,0.9,1.44,-0.65,0,1.23,0.82,-0.21,0.04,-2.13,0.47,-1.19,-0.16,-0.63,0.45,-2.8,-0.06,1.12,-2.48,1.91,-2.54,0.25,1.4,-0.86,-0.39,-0.61,0.15,-2.15,-1.01,-0.52,-1.39,1.65,-2.31,-0.15,0.2,0.49,-0.0,-0.62
s8,2.47,1.83,-0.12,-0.17,-0.17,-0.56,1.23,0,-0.11,0.37,2.66,0.42,0.04,1.05,0.69,0.58,-0.18,-0.7,1.47,-0.01,0.39,0.05,0.62,-0.06,-0.03,-0.64,-0.48,1.61,0.08,-1.16,1.08,1.34,0.42,0.0,1.24,4.04,0.26,-0.39,1.71,1.4
s9,1.42,0.49,-0.64,0.0,0.09,-1.5,0.82,-0.11,0,-0.34,1.66,-1.27,0.05,-0.32,0.03,-0.38,-0.72,-2.43,0.82,-0.04,-1.45,0.15,-1.31,-0.62,-0.24,-1.66,-1.33,0.44,0.14,-2.58,-0.2,0.3,-0.91,0.08,-0.77,2.28,-0.19,-0.09,1.09,0.28
s10,0.79,0.55,0.26,-0.37,0.0,-0.12,-0.21,0.37,-0.34,0,0.84,-0.28,-0.49,0.15,0.0,0.02,0.3,-0.91,0.11,0.16,-0.36,0.7,-0.27,0.16,0.69,-0.21,-0.01,0.42,-0.88,-0.82,0.18,0.28,-0.13,0.48,0.1,1.93,-0.02,-0.97,0.16,0.32
