name,cost,efficacy
s1,0.31,4.1
s2,0.67,4.47
s3,0.14,1.98
s4,0.21,8.78
s5,0.25,9.12
s6,0.12,4.31
s7,0.24,6.49
s8,0.39,4.74
s9,0.77,2.47
s10,0.58,8.2
s11,0.38,5.64
s12,0.6,3.01
s13,0.84,2.83
s14,0.44,4.36
s15,0.92,8.97
s16,0.49,7.9
s17,0.41,1.52
s18,0.57,4.98
s19,0.58,8.65
s20,0.85,8.86
s21,0.42,6.22
s22,0.59,4.16
s23,0.15,2.81
s24,0.23,6.37
s25,0.52,2.55
s26,0.84,4.24
s27,0.98,3.11
s28,0.77,3.61
s29,0.89,8.83
s30,0.71,5.17
s31,0.1,1.68
s32,0.3,4.63
s33,0.9,3.62
s34,0.41,1.91
s35,0.25,3.89
s36,0.67,2.69
s37,0.32,1.57
s38,0.99,5.93
s39,0.48,3.24
s40,0.53,2.81
s41,0.1,4.32
s42,0.21,6.62
s43,0.65,8.67
s44,0.21,8.91
s45,0.75,8.06

name,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45
s1,0,0.13,0.36,-0.47,-0.3,-0.04,-0.17,0.05,-0.75,1.11,0.11,-0.32,-0.67,0.03,2.97,0.68,-0.26,0.23,1.23,2.57,0.23,0.02,0.21,-0.18,-0.33,0.07,-0.66,-0.23,2.74,0.43,0.51,-0.01,-0.28,-0.22,0.01,-0.51,-0.03,1.24,-0.15,-0.28,-0.05,-0.25,1.55,-0.48,1.74
s2,0.13,0,1.32,-1.98,-1.95,0.09,-0.87,-0.08,-0.2,-0.34,-0.34,0.1,-0.28,0.03,1.13,-0.62,0.77,-0.05,-0.38,0.79,-0.44,0.02,0.86,-0.84,0.29,-0.04,-0.42,-0.09,0.96,0.03,1.59,-0.06,-0.2,0.67,0.24,-0.0,1.01,0.47,0.23,0.23,0.09,-0.99,-0.08,-2.04,0.29
s3,0.36,1.32,0,0.48,0.79,-0.05,0.45,0.69,0.31,2.74,0.88,0.47,0.59,0.71,5.45,2.07,-0.12,1.29,2.93,4.88,1.19,0.98,0.01,0.4,0.22,1.58,0.95,1.03,5.14,1.82,0.01,0.42,1.25,-0.02,0.21,0.38,-0.07,3.36,0.43,0.32,-0.09,0.32,3.41,0.49,3.71
s4,-0.47,-1.98,0.48,0,0.01,0.4,-0.07,-0.73,-3.53,-0.21,-0.53,-2.25,-3.75,-1.02,0.13,-0.25,-1.45,-1.37,-0.05,0.05,-0.54,-1.76,0.36,-0.05,-1.93,-2.86,-4.37,-2.9,0.03,-1.8,0.78,-0.37,-3.56,-1.37,-0.2,-2.8,-0.79,-2.22,-1.5,-1.91,0.49,-0.0,-0.05,0.0,-0.39
s5,-0.3,-1.95,0.79,0.01,0,0.63,0.03,-0.61,-3.46,-0.3,-0.45,-2.14,-3.71,-0.9,-0.1,-0.29,-1.22,-1.32,-0.16,-0.16,-0.49,-1.69,0.63,0.05,-1.77,-2.88,-4.39,-2.87,-0.19,-1.82,1.12,-0.22,-3.57,-1.15,-0.0,-2.7,-0.53,-2.36,-1.35,-1.77,0.72,0.1,-0.18,0.01,-0.53
s6,-0.04,0.09,-0.05,0.4,0.63,0,0.26,0.12,-1.2,1.79,0.35,-0.62,-1.07,0.02,3.73,1.33,-0.81,0.3,2.0,3.32,0.57,-0.07,-0.04,0.23,-0.7,-0.05,-1.03,-0.45,3.48,0.51,0.05,0.06,-0.54,-0.7,-0.05,-0.89,-0.55,1.41,-0.39,-0.61,-0.0,0.21,2.31,0.41,2.36
s7,-0.17,-0.87,0.45,-0.07,0.03,0.26,0,-0.26,-2.13,0.58,-0.12,-1.25,-2.2,-0.43,1.69,0.35,-0.84,-0.5,0.73,1.45,-0.05,-0.82,0.33,0.0,-1.1,-1.35,-2.5,-1.53,1.52,-0.62,0.67,-0.11,-1.89,-0.78,-0.03,-1.63,-0.39,-0.42,-0.78,-1.07,0.3,-0.0,0.89,-0.07,0.8
s8,0.05,-0.08,0.69,-0.73,-0.61,0.12,-0.26,0,-0.86,0.66,-0.01,-0.36,-0.86,-0.02,2.24,0.32,-0.06,0.04,0.74,1.9,0.04,-0.12,0.46,-0.26,-0.28,-0.22,-0.96,-0.43,2.04,0.14,0.89,0.01,-0.57,-0.06,0.12,-0.57,0.22,0.71,-0.13,-0.27,0.12,-0.34,1.02,-0.75,1.2
s9,-0.75,-0.2,0.31,-3.53,-3.46,-1.2,-2.13,-0.86,0,-1.09,-1.24,-0.09,0.03,-0.62,0.98,-1.52,0.34,-0.5,-1.17,0.51,-1.31,-0.3,-0.21,-2.11,-0.02,0.12,0.13,0.0,0.76,-0.16,0.53,-1.02,0.15,0.2,-0.74,-0.02,0.41,0.76,-0.22,-0.08,-1.24,-2.32,-0.74,-3.61,-0.11
s10,1.11,-0.34,2.74,-0.21,-0.3,1.79,0.58,0.66,-1.09,0,0.51,-0.1,-1.4,0.54,0.26,0.03,1.14,0.03,0.0,0.18,0.32,-0.04,2.32,0.64,0.34,-1.03,-2.04,-0.87,0.2,-0.39,3.13,1.0,-1.47,1.07,1.42,-0.5,1.72,-0.93,0.5,0.27,1.86,0.58,0.03,-0.26,-0.02
