name,cost,efficacy
s1,0.44,1.07
s2,0.13,3.02
s3,0.49,7.98
s4,0.97,2.38
s5,0.31,8.06
s6,0.36,3.83
s7,0.78,9.62
s8,0.12,5.77
s9,0.34,5.96
s10,0.49,1.49
s11,0.55,1.22
s12,0.49,1.87
s13,0.75,1.96
s14,0.41,6.71
s15,0.25,8.09
s16,1.0,5.14
s17,0.12,4.78
s18,0.21,1.51
s19,0.49,5.5
s20,0.18,5.41
s21,0.9,1.69
s22,0.32,5.88
s23,0.74,5.12
s24,0.56,7.32
s25,1.0,2.96
s26,0.71,7.58
s27,0.31,5.7
s28,0.38,1.68
s29,0.41,1.51
s30,0.49,1.82
s31,0.66,6.22
s32,0.25,7.83
s33,0.23,7.08
s34,0.66,8.64
s35,0.32,9.93
s36,0.56,9.6
s37,0.7,7.05
s38,0.78,5.16
s39,0.89,9.09
s40,0.16,3.97
s41,0.23,8.39
s42,0.25,4.13
s43,0.21,7.98
s44,0.57,7.22
s45,0.93,8.45
s46,0.19,8.55
s47,0.95,2.33
s48,0.36,4.23
s49,0.29,5.36
s50,0.76,1.5

name,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50
s1,0,-0.6,0.35,0.69,-0.91,-0.22,2.91,-1.5,-0.49,0.02,0.02,0.04,0.28,-0.17,-1.33,2.28,-1.19,-0.1,0.22,-1.13,0.29,-0.58,1.21,0.75,1.06,1.76,-0.6,-0.04,-0.01,0.04,1.13,-1.28,-1.26,1.67,-1.06,1.02,1.55,1.39,3.61,-0.81,-1.54,-0.58,-1.59,0.8,3.62,-1.87,0.64,-0.25,-0.64,0.14
s2,-0.6,0,1.79,-0.54,0.91,0.19,4.29,-0.03,0.62,-0.55,-0.76,-0.41,-0.66,1.03,0.61,1.84,-0.02,-0.12,0.89,0.12,-1.02,0.54,1.28,1.85,-0.05,2.64,0.48,-0.34,-0.42,-0.43,1.7,0.58,0.41,2.98,1.31,2.83,2.3,1.39,4.61,0.03,0.54,0.13,0.4,1.85,4.34,0.33,-0.57,0.28,0.37,-0.96
s3,0.35,1.79,0,-2.69,-0.01,0.54,0.48,0.82,0.3,-0.0,-0.41,-0.0,-1.57,0.1,-0.03,-1.45,1.18,1.81,-0.0,0.8,-2.58,0.36,-0.72,-0.05,-2.56,-0.09,0.41,0.69,0.52,-0.0,-0.3,0.04,0.23,0.11,-0.33,0.11,-0.2,-0.82,0.44,1.32,-0.11,0.92,-0.0,-0.06,0.21,-0.17,-2.6,0.49,0.52,-1.75
s4,0.69,-0.54,-2.69,0,-3.75,-0.88,-1.38,-2.88,-2.26,0.43,0.49,0.24,0.09,-2.42,-4.11,0.08,-2.04,0.66,-1.5,-2.39,0.05,-2.27,-0.63,-2.03,0.02,-1.35,-2.19,0.41,0.49,0.27,-1.19,-3.92,-3.48,-1.94,-4.91,-2.96,-1.26,-0.53,-0.54,-1.29,-4.45,-1.26,-4.26,-1.94,-0.24,-4.81,0.0,-1.13,-2.03,0.18
s5,-0.91,0.91,-0.01,-3.75,0,-0.21,0.73,0.44,-0.06,-1.18,-1.64,-1.11,-2.68,-0.14,-0.0,-2.01,0.62,0.66,-0.46,0.34,-3.76,-0.02,-1.26,-0.19,-3.52,-0.19,-0.0,-0.45,-0.65,-1.12,-0.64,0.01,0.08,0.2,0.02,0.38,-0.39,-1.36,0.6,0.61,-0.03,0.24,0.01,-0.22,0.24,-0.06,-3.67,-0.19,0.05,-2.95
s6,-0.22,0.19,0.54,-0.88,-0.21,0,2.43,-0.47,-0.04,-0.3,-0.5,-0.25,-0.73,0.14,-0.47,0.84,-0.23,0.35,0.22,-0.28,-1.16,-0.08,0.49,0.7,-0.56,1.31,-0.09,-0.04,-0.12,-0.26,0.72,-0.44,-0.42,1.44,-0.24,1.15,1.09,0.56,2.79,-0.03,-0.59,-0.03,-0.62,0.71,2.63,-0.8,-0.89,0.0,-0.11,-0.93
s7,2.91,4.29,0.48,-1.38,0.73,2.43,0,2.54,1.61,2.36,1.93,2.25,0.23,1.08,0.81,-0.99,3.19,4.62,1.19,2.53,-0.95,1.72,0.18,0.51,-1.47,0.14,1.84,3.18,3.0,2.26,0.41,0.95,1.4,0.12,-0.14,0.0,0.21,-0.0,-0.06,3.5,0.68,2.91,0.93,0.5,-0.18,0.63,-1.24,2.26,2.09,0.16
s8,-1.5,-0.03,0.82,-2.88,0.44,-0.47,2.54,0,0.04,-1.58,-1.96,-1.44,-2.4,0.27,0.3,-0.55,-0.0,-0.38,-0.1,-0.02,-3.18,0.02,-0.4,0.68,-2.47,1.07,-0.01,-1.06,-1.24,-1.46,0.24,0.27,0.14,1.55,0.83,1.69,0.74,-0.4,2.56,-0.07,0.29,-0.21,0.2,0.65,2.17,0.19,-2.86,-0.37,-0.07,-2.73
s9,-0.49,0.62,0.3,-2.26,-0.06,-0.04,1.61,0.04,0,-0.67,-1.0,-0.61,-1.64,0.05,-0.19,-0.54,0.26,0.58,-0.07,0.09,-2.39,0.0,-0.34,0.3,-1.98,0.6,0.01,-0.17,-0.31,-0.62,0.08,-0.17,-0.12,0.86,-0.08,0.8,0.39,-0.35,1.72,0.36,-0.27,0.16,-0.26,0.29,1.47,-0.39,-2.21,-0.03,0.03,-1.87
s10,0.02,-0.55,0.0,0.43,-1.18,-0.3,2.36,-1.58,-0.67,0,-0.02,0.0,0.12,-0.42,-1.58,1.86,-1.22,-0.01,0.0,-1.22,0.08,-0.75,0.91,0.41,0.75,1.34,-0.76,-0.02,-0.0,0.0,0.8,-1.52,-1.45,1.22,-1.43,0.57,1.17,1.06,3.04,-0.82,-1.79,-0.63,-1.82,0.46,3.06,-2.12,0.39,-0.36,-0.77,0.0
